case_id,status,case_type,date_uk,bar_time_uk,symbol_tf,marker_state,action_row,screenshot_path,recording_path,expected_decision,outcome_r,rule_score,teaching_goal,notes
CASE-01,captured,no_trade_rollover_messy,2026-07-11,2026-07-10 21:00 BST,OANDA:XAUUSD H1,PROSPER XAU H1 | ROLLOVER,DON'T TRADE,media/evidence_pack/case01_current_rollover_messy_dont_trade.png,,Skip / journal only,n/a,10,Messy range plus rollover means no trade,"Range MESSY 1.87 ATR; updates 8/8; spike 0.86/0.65; Daily BEAR; EMA MIXED; DXY UP CTX; Lock ROLLOVER"
CASE-02,queued,clean_winner,,,,,,,,Trade only if checklist passes,,,"Find a +2R clean winner with BREAKOUT CLOSE, EXEC @ price, red STOP zone, green TP zone"
CASE-03,queued,clean_winner,,,,,,,,Trade only if checklist passes,,,"Find a second clean winner; ideally opposite direction from CASE-02"
CASE-04,queued,clean_winner,,,,,,,,Trade only if checklist passes,,,"Find a clean winner where the range is compact and easy to read"
CASE-05,queued,clean_winner,,,,,,,,Trade only if checklist passes,,,"Find a clean winner where the target is hit after some hesitation"
CASE-06,queued,clean_loser,,,,,,,,Accept -1R if checklist passed,,,"Find a valid trade that hits the STOP zone"
CASE-07,queued,clean_loser,,,,,,,,Accept -1R if checklist passed,,,"Find a second loser; focus on no revenge trade"
CASE-08,queued,clean_loser,,,,,,,,Accept -1R if checklist passed,,,"Find a loser where the setup still looked valid at entry"
CASE-09,queued,time_exit,,,,,,,,Exit at 18h right edge if unresolved,,,"Find a marked trade still inside zones at the zone right edge"
CASE-10,queued,time_exit,,,,,,,,Exit at 18h right edge if unresolved,,,"Find a second unresolved or slow trade"
CASE-11,queued,messy_no_trade,,,,,,,,Skip / journal only,,,"Find MESSY RANGE due repeated updates"
CASE-12,queued,messy_no_trade,,,,,,,,Skip / journal only,,,"Find MESSY RANGE due spike greater than limit"
CASE-13,queued,messy_no_trade,,,,,,,,Skip / journal only,,,"Find range/ATR too wide or too narrow"
CASE-14,queued,rollover_or_lockout,,,,,,,,Skip / journal only,,,"Find rollover, manual news lockout, or late-session block"
CASE-15,queued,wick_only_trap,,,,,,,,Wait for H1 close,,,"Find wick outside box that closes back inside"
CASE-16,queued,wick_only_trap,,,,,,,,Wait for H1 close,,,"Find false break and rejection"
CASE-17,queued,wick_only_trap,,,,,,,,Wait for H1 close,,,"Find near-breakout that never closes beyond the box"
CASE-18,queued,ema_daily_skip,,,,,,,,Skip / journal only,,,"Find daily bias and H1 EMA stack disagreement"
CASE-19,queued,ema_daily_skip,,,,,,,,Skip / journal only,,,"Find EMA mixed or daily neutral day"
CASE-20,queued,context_not_signal,,,,,,,,Journal only unless checklist passes,,,"Find cup/handle, flag, DXY, PO3, gap, or re-entry temptation where context does not override rules"

